Region	Country/Territory	Location (City)	Type of Post	Comments
South Asia & Afghanistan	Afghanistan	Kabul	British Embassy	
Europe	Albania	Tirana	British Embassy	
Middle East & North Africa	Algeria	Algiers	British Embassy	
Africa	Angola	Luanda	British Embassy	
Overseas Territory	Anguilla	Anguilla	Governor	
Americas	Argentina	Buenos Aires	British Embassy	
Eastern Europe & Central Asia	Armenia	Yerevan	British Embassy	
Overseas Territory	Ascension Island	Ascension Island	Administrator	
AsiaPacific	Australia	Brisbane	British Consulate	
AsiaPacific	Australia	Canberra	British High Commission	
AsiaPacific	Australia	Melbourne	British Consulate General	
AsiaPacific	Australia	Perth	British Consulate	
AsiaPacific	Australia	Sydney	British Consulate General	
Multilateral	Austria	UK Delegation to the Organisation for Security and Cooperation in Europe, Vienna	International Organisation Delegation	
Multilateral	Austria	UK Mission to the United Nations, Vienna	International Organisation Delegation	
Europe	Austria	Vienna	British Embassy	
Eastern Europe & Central Asia	Azerbaijan	Baku	British Embassy	
Middle East & North Africa	Bahrain	Manama/Bahrain	British Embassy	
South Asia & Afghanistan	Bangladesh	Dhaka	British High Commission	
South Asia & Afghanistan	Bangladesh	Sylhet	British High Commission Office	
Americas	Barbados	Bridgetown	British High Commission	
Eastern Europe & Central Asia	Belarus	Minsk	British Embassy	
Europe	Belgium	Brussels	British Embassy	
Multilateral	Belgium	UK Joint Delegation to NATO, Brussels	International Organisation Delegation	
Multilateral	Belgium	UK Permanent Representation to the European Union, Brussels	International Organisation Delegation	
Americas	Belize	Belmopan	British High Commission	
Overseas Territory	Bermuda	Hamilton	Governor	
Americas	Bolivia	La Paz	British Embassy	
Europe	Bosnia and Herzegovina	Banja Luka	British Embassy Office	
Europe	Bosnia and Herzegovina	Sarajevo	British Embassy	
Africa	Botswana	Gaborone	British High Commission	
Americas	Brazil	Brasilia	British Embassy	
Americas	Brazil	Porto Alegre	British Trade and Investment Office	
Americas	Brazil	Recife	British Consulate General	
Americas	Brazil	Rio De Janeiro	British Consulate General	
Americas	Brazil	Sao Paulo	British Consulate General	
Overseas Territory	British Virgin Islands	Tortola	Governor	
AsiaPacific	Brunei Darussalam	Bandar Seri Begawan	British High Commission	
Europe	Bulgaria	Sofia	British Embassy	
AsiaPacific	Burma	Rangoon	British Embassy	
Africa	Burundi	Bujumbura	British Liaison Office	
AsiaPacific	Cambodia	Phnom Penh	British Embassy	
Africa	Cameroon	Yaounde	British High Commission	
Americas	Canada	Calgary	British Consulate General	
Americas	Canada	Montreal	British Consulate General	
Americas	Canada	Ottawa	British High Commission	
Americas	Canada	Toronto	British Consulate General	
Americas	Canada	Vancouver	British Consulate General	
Overseas Territory	Cayman Islands	George Town	Governor	
Americas	Chile	Santiago	British Embassy	
AsiaPacific	China	Beijing	British Embassy	
AsiaPacific	China	Chongqing	British Consulate General	
AsiaPacific	China	Guangzhou	British Consulate General	
AsiaPacific	China	Hong Kong SAR	British Consulate General	
AsiaPacific	China	Shanghai	British Consulate General	
AsiaPacific	China	Wuhan	British Consulate General	
Americas	Colombia	Bogota	British Embassy	
Americas	Costa Rica	San Jose	British Embassy	
Europe	Croatia	Split	British Consulate	
Europe	Croatia	Zagreb	British Embassy	
Americas	Cuba	Havana	British Embassy	
Europe	Cyprus	Nicosia	British High Commission	
Europe	Czech Republic	Prague	British Embassy	
AsiaPacific	Democratic People's Republic of Korea	Pyongyang	British Embassy	
Africa	Democratic Republic of the Congo	Goma	British Embassy Office	
Africa	Democratic Republic of the Congo	Kinshasa	British Embassy	
Europe	Denmark	Copenhagen	British Embassy	
Americas	Dominican Republic	Santo Domingo	British Embassy	
Americas	Ecuador	Quito	British Embassy	
Middle East & North Africa	Egypt	Alexandria	British Consulate General	
Middle East & North Africa	Egypt	Cairo	British Embassy	
Americas	El Salvador	San Salvador	British Embassy	
Africa	Eritrea	Asmara	British Embassy	
Europe	Estonia	Tallinn	British Embassy	
Africa	Ethiopia	Addis Ababa	British Embassy	
Overseas Territory	Falkland Islands	Stanley	Governor	
AsiaPacific	Fiji	Suva	British High Commission	
Europe	Finland	Helsinki	British Embassy	
