website	country	city
https://www.embassypages.com/missions/embassy9578/	Afghanistan	Kabul
 https://www.embassypages.com/missions/embassy9579/	Albania	Tirana
 https://www.embassypages.com/missions/embassy9580/	Algeria	Algiers
 https://www.embassypages.com/missions/embassy9582/	Angola	Luanda
 https://www.embassypages.com/missions/embassy9585/	Argentina	Buenos Aires
 https://www.embassypages.com/missions/embassy9586/	Armenia	Yerevan
 https://www.embassypages.com/missions/embassy12122/	Australia	Canberra
 https://www.embassypages.com/missions/embassy12128/	Austria	Vienna
 https://www.embassypages.com/missions/embassy12133/	Azerbaijan	Baku
 https://www.embassypages.com/missions/embassy12135/	Bahrain	Manama
 https://www.embassypages.com/missions/embassy12136/	Bangladesh	Dhaka
 https://www.embassypages.com/missions/embassy12138/	Barbados	Bridgetown
 https://www.embassypages.com/missions/embassy12139/	Belarus	Minsk
 https://www.embassypages.com/missions/embassy12140/	Belgium	Brussels
 https://www.embassypages.com/missions/embassy12143/	Belize	Belmopan
 https://www.embassypages.com/missions/embassy12144/	Bolivia	La Paz
 https://www.embassypages.com/missions/embassy12145/	Bosnia and Herzegovina	Sarajevo
 https://www.embassypages.com/missions/embassy12147/	Botswana	Gaborone
 https://www.embassypages.com/missions/embassy12148/	Brazil	Brasilia
 https://www.embassypages.com/missions/embassy12161/	Brunei	Bandar Seri Begawan
 https://www.embassypages.com/missions/embassy12162/	Bulgaria	Sofia
 https://www.embassypages.com/missions/embassy12166/	Burundi	Bujumbura
 https://www.embassypages.com/missions/embassy12167/	Cambodia	Phnom Penh
 https://www.embassypages.com/missions/embassy12168/	Cameroon	Yaounde
 https://www.embassypages.com/missions/embassy12170/	Canada	Ottawa
 https://www.embassypages.com/missions/embassy12185/	Chile	Santiago
 https://www.embassypages.com/missions/embassy12181/	China	Beijing
 https://www.embassypages.com/missions/embassy12188/	Colombia	Bogota
 https://www.embassypages.com/missions/embassy12192/	Congo (Democratic Republic)	Kinshasa
 https://www.embassypages.com/missions/embassy12193/	Costa Rica	San Jose
 https://www.embassypages.com/missions/embassy23816/	Cote d'Ivoire	Abidjan
 https://www.embassypages.com/missions/embassy12194/	Croatia	Zagreb
 https://www.embassypages.com/missions/embassy12197/	Cuba	Havana
 https://www.embassypages.com/missions/embassy12198/	Cyprus	Nicosia
 https://www.embassypages.com/missions/embassy12199/	Czech Republic	Prague
 https://www.embassypages.com/missions/embassy12200/	Denmark	Copenhagen
 https://www.embassypages.com/missions/embassy12211/	Dominican Republic	Santo Domingo
 https://www.embassypages.com/missions/embassy12214/	Ecuador	Quito
 https://www.embassypages.com/missions/embassy12217/	Egypt	Cairo
 https://www.embassypages.com/missions/embassy12444/	El Salvador	San Salvador
 https://www.embassypages.com/missions/embassy12222/	Eritrea	Asmara
 https://www.embassypages.com/missions/embassy49/	Estonia	Tallinn
 https://www.embassypages.com/missions/embassy12223/	Ethiopia	Addis Ababa
 https://www.embassypages.com/missions/embassy12224/	Fiji	Suva
 https://www.embassypages.com/missions/embassy12225/	Finland	Helsinki
 https://www.embassypages.com/missions/embassy12235/	France	Paris
 https://www.embassypages.com/missions/embassy12263/	Gambia	Banjul
 https://www.embassypages.com/missions/embassy12264/	Georgia	Tbilisi
 https://www.embassypages.com/missions/embassy12265/	Germany	Berlin
 https://www.embassypages.com/missions/embassy12276/	Ghana	Accra
 https://www.embassypages.com/missions/embassy12277/	Greece	Athens
 https://www.embassypages.com/missions/embassy12287/	Guatemala	Guatemala City
 https://www.embassypages.com/missions/embassy12288/	Guinea	Conakry
 https://www.embassypages.com/missions/embassy12290/	Guyana	Georgetown
 https://www.embassypages.com/missions/embassy12291/	Haiti	Port-au-Prince
 https://www.embassypages.com/missions/embassy12292/	Holy See (Vatican City)	Vatican
 https://www.embassypages.com/missions/embassy12297/	Hungary	Budapest
 https://www.embassypages.com/missions/embassy12298/	Iceland	Reykjavik
 https://www.embassypages.com/missions/embassy12300/	India	New Delhi
 https://www.embassypages.com/missions/embassy12307/	Indonesia	Jakarta
 https://www.embassypages.com/missions/embassy12310/	Iran	Tehran
 https://www.embassypages.com/missions/embassy12311/	Iraq	Baghdad
 https://www.embassypages.com/missions/embassy12314/	Ireland	Dublin
 https://www.embassypages.com/missions/embassy12315/	Israel	Tel Aviv
 https://www.embassypages.com/missions/embassy12319/	Italy	Rome
 https://www.embassypages.com/missions/embassy12331/	Jamaica	Kingston
 https://www.embassypages.com/missions/embassy12333/	Japan	Tokyo
 https://www.embassypages.com/missions/embassy12340/	Jordan	Amman
 https://www.embassypages.com/missions/embassy12341/	Kazakhstan	Astana
 https://www.embassypages.com/missions/embassy12342/	Kenya	Nairobi
 https://www.embassypages.com/missions/embassy12347/	Korea (Democratic Republic)	Pyongyang
 https://www.embassypages.com/missions/embassy12348/	Korea (Republic)	Seoul
 https://www.embassypages.com/missions/embassy12487/	Kosovo	Pristina
 https://www.embassypages.com/missions/embassy12350/	Kuwait	Kuwait City
 https://www.embassypages.com/missions/embassy12351/	Kyrgyzstan	Bishkek
 https://www.embassypages.com/missions/embassy25906/	Laos	Vientiane
 https://www.embassypages.com/missions/embassy12353/	Latvia	Riga
 https://www.embassypages.com/missions/embassy12354/	Lebanon	Beirut
 https://www.embassypages.com/missions/embassy12358/	Liberia	Monrovia
 https://www.embassypages.com/missions/embassy12359/	Libya	Tripoli
 https://www.embassypages.com/missions/embassy12360/	Lithuania	Vilnius
 https://www.embassypages.com/missions/embassy12361/	Luxembourg	Luxembourg Ville
 https://www.embassypages.com/missions/embassy12362/	Macedonia	Skopje
 https://www.embassypages.com/missions/embassy12375/	Madagascar	Antananarivo
 https://www.embassypages.com/missions/embassy12377/	Malawi	Lilongwe
 https://www.embassypages.com/missions/embassy12378/	Malaysia	Kuala Lumpur
 https://www.embassypages.com/missions/embassy12384/	Mali	Bamako
 https://www.embassypages.com/missions/embassy12385/	Malta	Valletta
 https://www.embassypages.com/missions/embassy12387/	Mauritius	Port Louis
 https://www.embassypages.com/missions/embassy12389/	Mexico	Mexico City
 https://www.embassypages.com/missions/embassy12399/	Moldova	Chisinau
 https://www.embassypages.com/missions/embassy12400/	Mongolia	Ulaanbaatar
 https://www.embassypages.com/missions/embassy12486/	Montenegro	Podgorica
 https://www.embassypages.com/missions/embassy12401/	Morocco	Rabat
 https://www.embassypages.com/missions/embassy12406/	Mozambique	Maputo
 https://www.embassypages.com/missions/embassy12165/	Myanmar	Yangon
 https://www.embassypages.com/missions/embassy12408/	Namibia	Windhoek
 https://www.embassypages.com/missions/embassy12409/	Nepal	Kathmandu
 https://www.embassypages.com/missions/embassy12410/	Netherlands	The Hague
