website	country	city
https://www.embassypages.com/missions/embassy2587/	Austria	Birmingham, Consulate
 https://www.embassypages.com/missions/embassy2588/	Austria	Edinburgh, Consulate
 https://www.embassypages.com/missions/embassy15250/	Bangladesh	Edinburgh, Consulate
 https://www.embassypages.com/missions/embassy25920/	Belarus	Cardiff, Consulate
 https://www.embassypages.com/missions/embassy2849/	Belgium	Belfast, Consulate
 https://www.embassypages.com/missions/embassy2852/	Belgium	Edinburgh, Consulate
 https://www.embassypages.com/missions/embassy2855/	Belgium	Hull, Consulate
 https://www.embassypages.com/missions/embassy2860/	Belgium	Jersey, Consulate
 https://www.embassypages.com/missions/embassy2856/	Belgium	Manchester, Consulate
 https://www.embassypages.com/missions/embassy2857/	Belgium	Newcastle upon Tyne, Consulate
 https://www.embassypages.com/missions/embassy2859/	Belgium	Southampton, Consulate
 https://www.embassypages.com/missions/embassy15624/	Benin	London, Consulate
 https://www.embassypages.com/missions/embassy721/	Bhutan	London, Consulate
 https://www.embassypages.com/missions/embassy12569/	Brazil	Belfast, Consulate
 https://www.embassypages.com/missions/embassy12572/	Brazil	Cardiff, Consulate
 https://www.embassypages.com/missions/embassy12575/	Brazil	Manchester, Consulate
 https://www.embassypages.com/missions/embassy9228/	Burkina Faso	London, Consulate General
 https://www.embassypages.com/missions/embassy1802/	Canada	Belfast, Consulate
 https://www.embassypages.com/missions/embassy1803/	Canada	Cardiff, Consulate
 https://www.embassypages.com/missions/embassy23740/	Canada	Edinburgh, Consulate
 https://www.embassypages.com/missions/embassy15628/	Cape Verde	London, Consulate
 https://www.embassypages.com/missions/embassy11702/	Chile	Belfast, Consulate
 https://www.embassypages.com/missions/embassy20407/	Chile	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy20410/	Chile	Liverpool, Consulate
 https://www.embassypages.com/missions/embassy12323/	China	Belfast, Consulate General
 https://www.embassypages.com/missions/embassy4745/	China	Edinburgh, Consulate General
 https://www.embassypages.com/missions/embassy4742/	China	Manchester, Consulate General
 https://www.embassypages.com/missions/embassy19897/	Comoros	London, Consulate
 https://www.embassypages.com/missions/embassy11796/	Comoros	Manchester, Consulate General
 https://www.embassypages.com/missions/embassy15630/	Congo (Republic)	London, Consulate
 https://www.embassypages.com/missions/embassy7674/	Cote d'Ivoire	Aberdeen, Consulate
 https://www.embassypages.com/missions/embassy17412/	Croatia	Edinburgh, Consulate
 https://www.embassypages.com/missions/embassy3427/	Cyprus	Birmingham, Consulate
 https://www.embassypages.com/missions/embassy3431/	Cyprus	Bristol, Consulate
 https://www.embassypages.com/missions/embassy22173/	Cyprus	Coleraine, Consulate
 https://www.embassypages.com/missions/embassy3430/	Cyprus	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy3428/	Cyprus	Leeds, Consulate
 https://www.embassypages.com/missions/embassy7118/	Cyprus	Stirling, Vice Consulate
 https://www.embassypages.com/missions/embassy3663/	Czech Republic	Belfast, Consulate
 https://www.embassypages.com/missions/embassy3665/	Czech Republic	Edinburgh, Consulate General
 https://www.embassypages.com/missions/embassy9214/	Czech Republic	Manchester, Consulate
 https://www.embassypages.com/missions/embassy14625/	Denmark	Aberdeen, Vice Consulate
 https://www.embassypages.com/missions/embassy14627/	Denmark	Belfast, Consulate
 https://www.embassypages.com/missions/embassy14628/	Denmark	Birmingham, Consulate
 https://www.embassypages.com/missions/embassy14631/	Denmark	Bristol, Consulate
 https://www.embassypages.com/missions/embassy14633/	Denmark	Dover, Vice Consulate
 https://www.embassypages.com/missions/embassy14634/	Denmark	Dundee, Vice Consulate
 https://www.embassypages.com/missions/embassy14635/	Denmark	Edinburgh, Consulate
 https://www.embassypages.com/missions/embassy14637/	Denmark	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy14638/	Denmark	Goole, Vice Consulate
 https://www.embassypages.com/missions/embassy14640/	Denmark	Grimsby, Consulate
 https://www.embassypages.com/missions/embassy14642/	Denmark	Harwich, Consulate
 https://www.embassypages.com/missions/embassy14643/	Denmark	Hull, Consulate
 https://www.embassypages.com/missions/embassy14630/	Denmark	Leeds, Vice Consulate
 https://www.embassypages.com/missions/embassy14645/	Denmark	Liverpool, Consulate
 https://www.embassypages.com/missions/embassy14646/	Denmark	Manchester, Consulate
 https://www.embassypages.com/missions/embassy14650/	Denmark	Milton Keynes, Vice Consulate
 https://www.embassypages.com/missions/embassy14649/	Denmark	Newcastle upon Tyne, Consulate
 https://www.embassypages.com/missions/embassy14652/	Denmark	Plymouth, Vice Consulate
 https://www.embassypages.com/missions/embassy14653/	Denmark	Portsmouth, Vice Consulate
 https://www.embassypages.com/missions/embassy14654/	Denmark	Southampton, Vice Consulate
 https://www.embassypages.com/missions/embassy14655/	Denmark	Stornoway, Vice Consulate
 https://www.embassypages.com/missions/embassy14657/	Denmark	Wick, Vice Consulate
 https://www.embassypages.com/missions/embassy26208/	Estonia	Aberdeen, Consulate
 https://www.embassypages.com/missions/embassy13390/	Estonia	Belfast, Consulate
 https://www.embassypages.com/missions/embassy26207/	Estonia	Cardiff, Consulate
 https://www.embassypages.com/missions/embassy437/	Estonia	Cheltenham, Consulate
 https://www.embassypages.com/missions/embassy438/	Estonia	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy26206/	Estonia	Liverpool, Consulate
 https://www.embassypages.com/missions/embassy9161/	Ethiopia	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy3840/	Finland	Aberdeen, Consulate
 https://www.embassypages.com/missions/embassy24329/	Finland	Belfast, Consulate
 https://www.embassypages.com/missions/embassy3842/	Finland	Birmingham, Consulate
 https://www.embassypages.com/missions/embassy3843/	Finland	Bristol, Consulate
 https://www.embassypages.com/missions/embassy3844/	Finland	Cardiff, Consulate
 https://www.embassypages.com/missions/embassy3845/	Finland	Dover, Consulate
 https://www.embassypages.com/missions/embassy3847/	Finland	Edinburgh, Consulate
 https://www.embassypages.com/missions/embassy3862/	Finland	Gillingham, Consulate
 https://www.embassypages.com/missions/embassy3849/	Finland	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy3853/	Finland	Grimsby, Consulate
 https://www.embassypages.com/missions/embassy3852/	Finland	Hull, Consulate
 https://www.embassypages.com/missions/embassy3864/	Finland	Jersey, Consulate
 https://www.embassypages.com/missions/embassy3854/	Finland	Leeds, Consulate
 https://www.embassypages.com/missions/embassy3856/	Finland	Liverpool, Consulate
 https://www.embassypages.com/missions/embassy3857/	Finland	Manchester, Consulate
 https://www.embassypages.com/missions/embassy3858/	Finland	Middlesbrough, Consulate
 https://www.embassypages.com/missions/embassy3859/	Finland	Newcastle upon Tyne, Consulate
 https://www.embassypages.com/missions/embassy3860/	Finland	Nottingham, Consulate
 https://www.embassypages.com/missions/embassy3851/	Finland	Plymouth, Consulate
 https://www.embassypages.com/missions/embassy3863/	Finland	Sheffield, Consulate
 https://www.embassypages.com/missions/embassy24330/	Finland	Southampton, Consulate
 https://www.embassypages.com/missions/embassy4437/	France	Aberdeen, Consulate
 https://www.embassypages.com/missions/embassy4438/	France	Belfast, Consulate
 https://www.embassypages.com/missions/embassy4452/	France	Birmingham, Consulate
 https://www.embassypages.com/missions/embassy4439/	France	Brighton, Consulate
 https://www.embassypages.com/missions/embassy4440/	France	Bristol, Consulate
 https://www.embassypages.com/missions/embassy4441/	France	Cardiff, Consulate
 https://www.embassypages.com/missions/embassy4442/	France	Chester, Consulate
 https://www.embassypages.com/missions/embassy4443/	France	Dover, Consulate
 https://www.embassypages.com/missions/embassy4444/	France	Dundee, Consulate
 https://www.embassypages.com/missions/embassy4435/	France	Edinburgh, Consulate General
 https://www.embassypages.com/missions/embassy25915/	France	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy4446/	France	Guernsey, Consulate
 https://www.embassypages.com/missions/embassy4459/	France	Isle of Man, Consulate
 https://www.embassypages.com/missions/embassy4448/	France	Jersey, Consulate
 https://www.embassypages.com/missions/embassy4449/	France	Leeds, Consulate
 https://www.embassypages.com/missions/embassy4450/	France	Lerwick, Consulate
 https://www.embassypages.com/missions/embassy12519/	France	Liverpool, Consulate
 https://www.embassypages.com/missions/embassy2746/	France	Manchester, Consulate
 https://www.embassypages.com/missions/embassy4461/	France	Nottingham, Consulate
 https://www.embassypages.com/missions/embassy4456/	France	Penzance, Consulate
 https://www.embassypages.com/missions/embassy4457/	France	Plymouth, Consulate
 https://www.embassypages.com/missions/embassy4460/	France	Stornoway, Consulate
 https://www.embassypages.com/missions/embassy1240/	Germany	Aberdeen, Consulate
 https://www.embassypages.com/missions/embassy1241/	Germany	Birmingham, Consulate
 https://www.embassypages.com/missions/embassy23660/	Germany	Bristol, Consulate
 https://www.embassypages.com/missions/embassy1243/	Germany	Cardiff, Consulate
 https://www.embassypages.com/missions/embassy1244/	Germany	Dover, Consulate
 https://www.embassypages.com/missions/embassy1239/	Germany	Edinburgh, Consulate General
 https://www.embassypages.com/missions/embassy1245/	Germany	Glasgow, Consulate
 https://www.embassypages.com/missions/embassy1258/	Germany	Guernsey, Consulate
 https://www.embassypages.com/missions/embassy22271/	Germany	Hull, Consulate
 https://www.embassypages.com/missions/embassy1257/	Germany	Jersey, Consulate
 https://www.embassypages.com/missions/embassy1249/	Germany	Kirkwall, Consulate
 https://www.embassypages.com/missions/embassy1251/	Germany	Leeds, Consulate
 https://www.embassypages.com/missions/embassy1252/	Germany	Lerwick, Consulate
