website	country	city
https://www.embassypages.com/missions/embassy9583/	Anguilla	The Valley, Governor's Office
 https://www.embassypages.com/missions/embassy12137/	Bangladesh	Sylhet, Representative Office
 https://www.embassypages.com/missions/embassy12146/	Bosnia and Herzegovina	Banja Luka, Embassy Branch Office
 https://www.embassypages.com/missions/embassy22283/	British Virgin Islands	Road Town, Governor's Office
 https://www.embassypages.com/missions/embassy22280/	Cayman Islands	George Town, Governor's Office
 https://www.embassypages.com/missions/embassy22278/	Falkland Islands	Stanley, Governor's Office
 https://www.embassypages.com/missions/embassy22281/	Gibraltar	Gibraltar, Governor's Office
 https://www.embassypages.com/missions/embassy12304/	India	Ahmedabad, Deputy High Commission
 https://www.embassypages.com/missions/embassy12301/	India	Bangalore, Deputy High Commission
 https://www.embassypages.com/missions/embassy11662/	India	Chandigarh, Deputy High Commission
 https://www.embassypages.com/missions/embassy12305/	India	Chennai, Deputy High Commission
 https://www.embassypages.com/missions/embassy12302/	India	Hyderabad, Deputy High Commission
 https://www.embassypages.com/missions/embassy12306/	India	Kolkata, Deputy High Commission
 https://www.embassypages.com/missions/embassy12303/	India	Mumbai, Deputy High Commission
 https://www.embassypages.com/missions/embassy12394/	Mexico	Guadalajara, Trade Office
 https://www.embassypages.com/missions/embassy12395/	Mexico	Monterrey, Trade Office
 https://www.embassypages.com/missions/embassy12397/	Mexico	Tijuana, Trade Office
 https://www.embassypages.com/missions/embassy22279/	Montserrat	Brades, Governor's Office
 https://www.embassypages.com/missions/embassy12420/	Nigeria	Lagos, Deputy High Commission
 https://www.embassypages.com/missions/embassy12424/	Nigeria	Port Harcourt, Deputy High Commission
 https://www.embassypages.com/missions/embassy12437/	Pakistan	Karachi, Deputy High Commission
 https://www.embassypages.com/missions/embassy12438/	Pakistan	Lahore, Representative Office
 https://www.embassypages.com/missions/embassy12357/	Palestine	Gaza City, Representative Office
 https://www.embassypages.com/missions/embassy22275/	Saint Helena	Jamestown, Governor's Office
 https://www.embassypages.com/missions/embassy9587/	Saint Helena	Ascension, Administrative Office
 https://www.embassypages.com/missions/embassy12483/	Saudi Arabia	Dammam, Trade Office
 https://www.embassypages.com/missions/embassy12498/	South Africa	Johannesburg, Trade Office
 https://www.embassypages.com/missions/embassy16198/	Taiwan	Taipei, Representative Office
 https://www.embassypages.com/missions/embassy22282/	Turks and Caicos Islands	Cockburn Town, Governor's Office
 https://www.embassypages.com/missions/embassy12553/	United Arab Emirates	Dubai, Embassy Branch Office      
