type	location	adress	city	Phone-number	fax 	website	email	additional-information
British Embassy	Brasilia, Brazil	Setor de Embaixadas Sul, Quadra 801, Lote 8, CEP 70408-900 Brasilia , Brazil	City Brasilia	+55 (61) 3329 2300	+55 (61) 3329 2369	http://www.gov.uk/government/world/brazil	press.brasilia@fco.gov.uk	Office Hours Mon-Thu: 08:30am to 12:30pm and 13:30pm to 16:45pm Fri: 08:30am to 12:30pm and13:30pm to 16:30pm
British Embassy	Phnom Penh, Cambodia	27-29 Street 75, Sangkat Srah Chak, Khan , Daun Penh, Phnom Penh 12201, Cambodia	City Phnom Penh	+855 (0) 23 427124	+855 (0) 23 427125	http://www.gov.uk/government/world/cambodia	britemb@online.com.kh	Office Hours Opening hours (local time GMT+07:00): Monday to Thursday, 8.15am to 4.45pm, Friday,8.15am to 1.15pm
British Embassy	Kabul Afghanistan	15th Street, , Roundabout Wazir Akbar Khan, PO Box 334, Kabul, Afghanistan	City Kabul	+93 (0) 700 102 000	+93 (0) 700 102 250	http://ukinafghanistan.fco.gov.uk	britishembassy.kabul@fco.gov.uk	Office Hours 8.30 am to 4.30 pm ( Sunday to Thursday) Passport applications are only accepted on Mondaysand Tuesdays (8.30 am to 11.30 am)
British High Commission	Singapore	100 Tanglin Road, Singapore 247919	City Singapore	(+65) 6424 4200		http://www.gov.uk/government/world/singapore	consular.singapore@fco.gov.uk	Office Hours Monday to Friday - 8:30am to 5:00pmCONSULARMonday to Friday - 9.00am to 12.00pmAdditional hours on Wednesday - 2.00pm to 3.00pmDetails We develop the important and longstanding relationship between the UK and Singapore. We provideconsular services to British nationals, answering over 11,000 enquiries yearly.
British Embassy	La Paz, Bolivia	Avenida Arce No.2732, La Paz, Bolivia	City La Paz	(591 2) 2433424	(591 2) 2431073	http://www.gov.uk/government/world/bolivia	BELaPaz@fco.gov.uk/consular.lapaz@fco.gov.uk	
British Embassy	Sofia, Bulgaria	9 Moskovska Street, Sofia 1000, Bulgaria	City Sofia	(+359) 2 933 9222	(+359) 2 933 9250	http://www.gov.uk/government/world/bulgaria	BritishEmbassySofia@fco.gov.uk	Office Hours Monday to Friday, 9am to 5pmDetails Consular e-mail address: consularsection.sofia@fco.gov.uk
British High Commission	Nairobi, Kenya	Upper Hill Road, P.O. Box 30465-00100, Nairobi, Kenya	City Nairobi	+254 (0)20 287 3000 / +254 (0)20 2844 000		http://www.gov.uk/government/world/kenya	Nairobi.Enquiries@fco.gov.uk	Office Hours Monday to Thursday: 7am to 4pm and Friday 7am to 1pmDetails Consular Email: consular.enquiries@fco.gov.uk Opening hours: Local time: Monday to Thursday:7:45am to 2pm Closed on Friday (except for emergencies)For Visa Enquiries Email: visacustomerservice.nairobi@fco.gov.ukFor Passport enquiries Email: Feedback.passportservices@fco.gov.uk Passport collection Opening hours:2pm to 3pm Tuesday and Thursday
British Embassy	San Jose, Costa Rica	Edificio Centro Colón, Paseo Colón and Streets 38 and 40	City San Jose	(506) 2258-2025	(506) 2233 9938	http://www.gov.uk/government/world/costa-rica	ukin.costarica@fco.gov.uk	Details Consular enquiries: consular.costarica@fco.gov.uk Apartado 815 - 1007 San Jose Costa Rica
British Embassy	Ljubljana, Slovenia	Trg republike 3, 1000 Ljubljana, Slovenia	City Ljubljana	+386 1 200 3910	+386 1 425 0174	http://www.gov.uk/government/world/slovenia	info@british-embassy.si	Details Consular office: consular.enquiriesljubljana@fco.gov.uk
British Consulate-General	Calgary, Canada	5100-150 6 Ave SW, Calgary Alberta T2P 3Y7, Canada	City Calgary	+1 403 705 1755	+1 403 538 0121		UKConsulate.Calgary@fco.gov.uk	Office Hours Monday to Friday 8:00am to 2:30pm (commercial enquires only)Details Emergency assistance for British nationals: +1 403 538 2181
British Trade & Cultural Office Taiwan		26F, President International Tower , No. 9-11, Song Gao Road, Xin Yin District Taipei 11073, Taiwan	City Taipei	+886 (2) 8758 2088	+886 (2) 8758 2050	http://https://www.gov.uk/government/world/taiwan	info.taipei@fco.gov.uk/bass.taipei@fco.gov.uk	Details Her Majesty's Government do not recognise Taiwan as a sovereign state and consequently have nodiplomatic relations with it. However, there are unofficial British commercial and cultural offices in Taiwan.
British Honorary Consul	Split, Croatia	Obala Hrvatskog Narodnog Preporoda , 10/III, 21000 Split, Croatia	City Split	+385 (1) 6009 100	+385 (1) 6009 298			Details If you are a British national in need of urgent consular assistance during this period, please call theembassy telenumber 00 385 1 600 9100.
Embassy of Great Britain	Turkmenistan	3rd Floor Office Building , Four Points Ak Altyn Hotel , 744001 Ashgabat, Turkmenistan	City Ashgabat	+993 12 36 34 62/64 or +99365 71 20 33	+99 312 363 465	http://www.gov.uk/government/world/turkmenistan	beasb@online.tm	Details If you are having difficulty with the main telenumber for the Embassy, please try any of thefollowing: +993 12 363463, 363464, 363466, 363498 or 363474; or +99365 7102033; or call the FCOSwitchboard in London on +44 (0)20 7008 1500 for assistance.
Embassy of The UK	Muscat, Oman	P O Box 185, 116 Mina Al Fahal, Muscat, Oman	City Muscat	+968 2460 9000	+968 2460 9010	http://www.gov.uk/government/world/oman	muscat.enquiries@fco.gov.uk	Office Hours Sunday to Thursday, 3:30am to 10:30am (7:30am to 2:30pm Local Time)Details If you need to visit the British Embassy for a consular issue, you may need to make an appointment.For all notarial and documentary services an online appointment has to be made in advance of your visit.Please visit the notarial and documentary services section for detailed guidance.Consular: Muscat.consular@fco.gov.uk
British Embassy	Ankara, Turkey	Sehit Ersan Caddesi No 46/A, Cankaya Ankara, Turkey	City Ankara	+90 312 455 33 44	+90 312 455 33 52	http://www.gov.uk/government/world/turkey	info.officer@fco.gov.uk/britembcon@fco.gov.uk	Details Our network of posts in Turkey, including the British Embassy in Ankara and our Consulate Generalin Istanbul, develop and maintain relations between the UK and Turkey. We work on a wide range of issuesincluding Turkey’s bid to join the European Union, the economy, energy policy and international security.
British Embassy	Santo Domingo, Dominican Republic	Ave 27 de Febrero No 233, Edificio Corominas Pepin, Santo Domingo, DR	City Santo Domingo	(001) (809) 472 7111	(001) (809) 472 7190	http://www.gov.uk/government/world/dominican-republic	brit.emb.sadom@codetel.net.do	Office Hours Monday to Thursday 8:00am to 1:00pm and 2:00pm to 4:30pm Friday 8:00am to 1:00pmDetails Please note that all Consular enquiries should be directed to the Consular Section: Monday toThurday 8:30am to 1:00pm (001) (809) 472 7111
British Consulate-General	Montreal, Canada	2000 McGill College Avenue , Suite 1940, Montreal Quebec H3A 3H3, Canada	City Montreal	+1 514 866 5863	+1 514 866 0202		rsvp.montreal@fco.gov.uk	Office Hours Monday to Friday 9:00am to 4:00pm (commercial enquires only)Details Please note that the British High Commission in Ottawa is the only mission within Canada that offersa Visa Service.
British Consulate-General	Toronto, Canada	777 Bay Street, Suite 2800, Toronto, Ontario M5G 2G2, Canada	City Toronto	+1 416 593 1290	+1 416 593 1229		britcon.toronto@fco.gov.uk	Office Hours GMT: Mon-Fri: 1400 - 2130 Local Time: Mon-Fri: 0900 - 1630Details Telephone: 9:00am to 4:00pm Monday to Friday (except public holidays). Emergency consularservice for British nationals is available out of hours. Public access is by appointment only.
British Consulate-General	Vancouver, Canada	1111 Melville Street, Suite 800, Vancouver British Columbia V6E 3V6, Canada	City Vancouver	+1 604 683 4421	+1 604 681 0693		britishconsulate.vancouver@fco.gov.uk	Office Hours GMT: Mon-Fri: 1630-0030 Local Time: Mon-Fri: 0830-1630Details Telephone: 9:00am to 4:00pm Monday to Friday (except public holidays). Emergency consularservice for British nationals is available out of hours. Public access is by appointment only.
British Embassy	Damascus, Syria	Kotob Building, 11 Mohammad Kurd Ali Street , Malki, P O Box 37, Damascus, Syria	City Damascus	(963) (11) 373 9241/2/3/7	(963) (11) 373 9472	http://www.gov.uk/government/world/syria	british.embassy.damascus@fco.gov.uk	Details The British Embassy Damascus has suspended all services and all diplomatic personnel have beenwithdrawn from Syria. Those who choose to remain in Syria or to visit against our advice should be awarethat we cannot provide consular assistance in country. Any British nationals requiring urgent consularassistance can visit the embassy of any EU Member State in Damascus, or in an emergency call the FCO inLondon on (+44) 20 7008 1500.
Embassy of the United Kingdom	Iran	British Embassy, 198, Ferdowsi Avenue , Tehran 11316-91144	City Tehran	+44 20 7008 1500		http://www.gov.uk/government/world/iran	margaret.mostoufi@fco.gov.uk	Details The British Embassy Tehran remains closed. If you need routine consular assistance in Iran youshould contact the Foreign and Commonwealth Office on +44 20 7008 1500. In an emergency, you shouldcontact any EU Embassy in Tehran including the Swedish Embassy.
British High Commission	Wellington, New Zealand	44 Hill Street Thorndon, Wellington 6011, New Zealand	City Wellington	+64 (0) 4 924 2888	+64 (0) 4 473 4982	http://www.gov.uk/government/world/new-zealand		Office Hours Monday to Friday - 9.00am to 5.00pmDetails The British High Commission in Wellington, together with the British Consulate-General inAuckland, represents the UK government in New Zealand. We are also here to support and protect UKinterests in Pitcairn Island and Samoa.24/03/2017 Overseas Embassies and Consulates of United Kingdomhttps://embassy.goabroad.com/embassies-of/united-kingdom 18/35
British Embassy	Taguig, Philippines	120 Upper McKinley Road, McKinley Hill, Taguig City 1634, Philippines	City Taguig City	+63 2 858 2200	+63 2 858 2313	http://www.gov.uk/government/world/philippines	ukinthephilippines@fco.gov.uk	Office Hours Monday to Friday - 8:00am to 4:45pmDetails The Philippines and the UK enjoy good relations as longstanding partners and allies. Both areoutward looking island nations committed to democracy, trade and investment, and support for the UnitedNations. As well as close government-to-government relations, the two nations have contacts at all levels ofcivil society. We are also here to support and protect UK interests in the Philippines and Palau.
British Embassy	Athens, Greece	1 Ploutarchou str, 106 75 Athens, Greece	City Athens	+30 210 7272 600		http://www.gov.uk/government/world/greece	information.athens@fco.gov.uk	Details The United Kingdom’s relationship with Greece goes back nearly two centuries, to the foundation ofthe modern Greek state – if not longer than that. Our two countries are partners and friends. Like the UK,Greece is a mature member of the European Union and of NATO, and much of our cooperation takes placewithin that framework.24/03/2017 Overseas Embassies and Consulates of United Kingdom
British Embassy	Tashkent, Uzbekistan	67 Gulyamov Street, Tashkent 100000, Uzbekistan	City Tashkent	+99 871 120 1500		http://www.gov.uk/government/world/uzbekistan	ukin.uzbekistan@fco.gov.uk	Office Hours GMT+5: Monday to Friday: 09.00 to 17.00 pmDetails Visa enquiries - www.ukvi-international.faq-help.comConsular enquiries - consular.tashkent@fco.gov.uk
British Embassy	Prague, Czech Republic	Thunovska 14 , Political, Defence Section, 118 00 Prague 1 , Czech Republic	City Prague	+420 257 40 2111	+420 257 40 2296	http://www.gov.uk/government/world/czech-republic	ukinczechrepublic@fco.gov.uk	Details We develop and maintain relations between Britain and the Czech Republic. We work on a widerange of issues including our mutual interests in the EU, NATO and the UN, increasing trade and investment,and developing our defence relationship.
British Embassy	Asuncion, Paraguay	Edificio Citicenter, Piso 5 , Av. Mariscal López y Cruz del Chaco, Asuncion, Paraguay	City Asuncion	+ 595 (21) 328 5507		http://www.gov.uk/government/world/paraguay	BE-Asuncion.Enquiries@fco.gov.uk	Office Hours Monday to Friday: 9:00am to 5:00pmDetails We develop and maintain relations between the UK and Paraguay. Our job is to work with the UKgovernment’s international agenda and support their foreign priorities.
British Embassy	Zagreb, Croatia	Ivana Lu?i?a 4, 10000 Zagreb, Croatia	City Zagreb	+385 (1) 6009 100	+385 (1) 6009 111	http://www.gov.uk/government/world/croatia	british.embassyzagreb@fco.gov.uk	Details We develop and maintain relations between the United Kingdom and Croatia. We are working withCroatia as a new partner and ally within the EU on bilateral, regional and global issues. For VISA enquiries:zagreb.visaenquiries@fco.gov.uk
British Embassy	Madrid, Spain	Torre Espacio , Paseo de la Castellana 259D, 28046 Madrid, Spain	City Madrid	+34 917 146 300	+34 917 146 301	http://www.gov.uk/government/world/spain	info.consulate@fco.gov.uk	Details We develop and maintain relations between the United Kingdom and Spain. We work on issuesincluding the economy, commercial regulation in the single market, energy policy and international security.(We also cover Andorra remotely.)
British Embassy	Warsaw, Poland	ul. Kawalerii 12, 00-468 Warsaw, Mazowieckie Poland	City Warsaw	+48 22 311 00 00	+48 22 311 03 13	http://www.gov.uk/government/world/poland	info@britishembassy.pl	Details We develop the important and longstanding relationship between the UK and Poland.
British Embassy	Vilnius, Lithuania	Antakalnio str. 2 , LT-10308 Vilnius , Lithuania	City Vilnius	+370 5 2462900	+370 5 2462901	http://www.gov.uk/government/world/lithuania	be-vilnius@britain.lt	Details We work to improve trade and investment between Britain and Lithuania, developing strong political,economic, cultural and defence ties.
